date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:21:20	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2012%20May%202026%2023:21:16%20GMT	https://redressright.me/robots.txt		(from )
19:21:20	64583/64583	---M-Z	200	added ('OK')	text/html	etag:%22fc47-699ce8f9-9fb65058e76a52a7;gz%22	https://redressright.me/	D:/Program%20Files/mysites/RipSites/redressright.me/index.html	(from )
19:21:20	918/918	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20May%202026%2023:21:17%20GMT	https://r.mobirisesite.com/2130286/assets/images/photo-1611079830811-865ff4428d17.jpeg	D:/Program%20Files/mysites/RipSites/r.mobirisesite.com/2130286/assets/images/photo-1611079830811-865ff4428d17.0.delayed	(from https://redressright.me/)
19:21:21	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20May%202026%2023:21:18%20GMT	http://redressright.me/PFR.html	D:/Program%20Files/mysites/RipSites/redressright.me/PFR.2.delayed	(from https://redressright.me/)
19:21:21	102025/102025	---M-Z	200	added ('OK')	text/css	etag:%226421d693-547f%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	D:/Program%20Files/mysites/RipSites/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	(from https://redressright.me/)
19:21:21	43807/43807	---M-Z	200	added ('OK')	text/html	etag:%22ab1f-699ce8f8-670fde89a9d1ee7c;gz%22	https://redressright.me/PFR.html	D:/Program%20Files/mysites/RipSites/redressright.me/PFR.html	(from https://redressright.me/)
19:21:22	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20May%202026%2023:21:18%20GMT	http://redressright.me/GAAP.html	D:/Program%20Files/mysites/RipSites/redressright.me/GAAP.html	(from https://redressright.me/)
19:21:23	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20May%202026%2023:21:19%20GMT	http://redressright.me/CLMP.html	D:/Program%20Files/mysites/RipSites/redressright.me/CLMP.html	(from https://redressright.me/)
19:21:23	1208824/1208824	---M-Z	200	added ('OK')	text/html	etag:%221271f8-69c93916-1b3d01bce8b586e0;gz%22	https://redressright.me/GAAP.html	D:/Program%20Files/mysites/RipSites/redressright.me/GAAP.html	(from https://redressright.me/)
19:21:24	109552/109552	---M-Z	200	added ('OK')	text/html	etag:%221abf0-699f6aa0-6e3915cd31d653e;gz%22	https://redressright.me/CLMP.html	D:/Program%20Files/mysites/RipSites/redressright.me/CLMP.html	(from https://redressright.me/)
19:21:24	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20May%202026%2023:21:20%20GMT	http://redressright.me/CPSA.html	D:/Program%20Files/mysites/RipSites/redressright.me/CPSA.html	(from https://redressright.me/)
